[00:00.00 - 00:02.24] 就人现在是一个不称职的医生了
[00:02.24 - 00:04.44] 阿姨来当了医生哥好
[00:04.44 - 00:08.20] 就说在这个阿姨的价值能力超越了这个人类的
[00:08.20 - 00:09.48] 是一个司机费品之后
[00:09.48 - 00:11.48] 然后普通人类的这个数据
[00:11.48 - 00:14.56] 已经对于我们世界模型的这个进度提升价值
[00:14.56 - 00:15.68] 是趋劲于零的
[00:15.68 - 00:16.84] 做的不好可能是复杂
[00:16.84 - 00:18.88] 那说得做的好谈是丁
[00:18.88 - 00:21.08] 就是Skating Law就是单独价数据
[00:21.08 - 00:22.80] 是不能帮助建成环权的
[00:22.80 - 00:24.12] 今天其实环权比例很高
[00:24.12 - 00:25.28] 那些真的是多一招
[00:25.28 - 00:26.76] 不是啦 就是算说了
[00:26.76 - 00:27.60] 这个多少总统
[00:27.60 - 00:28.80] 然后选择了最好的一招
[00:28.80 - 00:29.80] 或者是唯一那一招
[00:29.96 - 00:31.48] 就是这不是哥把行动权拭
[00:31.48 - 00:32.80] 这是卑近行动拭
[00:32.80 - 00:34.48] 所以简单说就不是说从颜绕到不来
[00:34.48 - 00:37.00] 但是 沿着L&S到基础入境
[00:37.00 - 00:43.84] 它其实帮助不能帮助你做的L&S
[00:43.84 - 00:45.76] 他高兴啊 交入那个
[00:45.76 - 00:48.12] 能够邀请你从回这个中班车
[00:48.12 - 00:50.12] 然后 我们这点现在
[00:50.12 - 00:53.68] 这点就位置应该距离你们最开始的时候
[00:53.68 - 00:55.80] 录车的地方应该是不远的
[00:55.80 - 00:57.92] 就是我记得好像是
[00:57.92 - 00:59.52] 推了一台用小推车
[00:59.52 - 01:01.04] 开手的这个录车
[01:01.04 - 01:02.60] 是 当时是这样的吗
[01:02.60 - 01:03.72] 对 上次采访的时候
[01:03.72 - 01:06.12] 记得就是在那个海龙大厂的时候
[01:06.12 - 01:07.20] 其实说我们这个年龄
[01:07.20 - 01:08.40] 看来知道那个地方
[01:08.40 - 01:10.52] 当年卖这个二手电脑的地方
[01:10.52 - 01:11.52] 其实在那种公司
[01:11.52 - 01:13.76] 刚创业 其实我们就有接触
[01:13.76 - 01:15.36] 最早的其实采访也是这样子的
[01:15.36 - 01:16.76] 所以也在采访
[01:16.76 - 01:18.52] 一会儿差不多10年就过去了
[01:18.52 - 01:20.52] 小卖时间10年的公司
[01:20.52 - 01:22.76] 10年前的这种价值的研发
[01:22.76 - 01:24.92] 是一个什么样的状态
[01:24.92 - 01:25.92] 时间显受 对吧
[01:25.92 - 01:27.92] 就是
[01:27.92 - 01:29.16] 当时现在回头看的
[01:29.16 - 01:30.68] 更像烤的班子 对吧
[01:30.68 - 01:32.36] 所有的东西都手大
[01:32.36 - 01:34.52] 但早年的时候其实我也经历自己
[01:34.52 - 01:36.40] 当时还在一个
[01:36.40 - 01:38.48] 收集数据做模仿的阶段
[01:38.48 - 01:41.08] 等于是我们做的就是我们
[01:41.08 - 01:42.44] 平民弄车
[01:42.44 - 01:44.44] 无论是自动还手动的
[01:44.44 - 01:46.64] 反正我们都能收集很多数据
[01:46.64 - 01:49.24] 然后去让我们西藏的模仿人的情怀
[01:49.24 - 01:50.88] 那个什么模仿随时代
[01:50.88 - 01:53.80] 这个一直延续到大概2020年是疫情的事
[01:53.80 - 01:55.64] 然后为什么就是在2020年
[01:55.64 - 01:58.72] 是一个比较标志性的节点呢
[01:58.76 - 02:01.36] 对 其实那时候人家是技术通过一段时间
[02:01.36 - 02:02.20] 期待吧
[02:02.20 - 02:03.92] 我意识到一件事情
[02:03.92 - 02:06.40] 就是说想要送价车开得比人
[02:06.40 - 02:08.08] 开得好的话这件事情
[02:08.08 - 02:12.04] 全靠模仿人类的这开价数据是不够的
[02:12.04 - 02:13.40] 这个其实也是
[02:13.40 - 02:14.88] 严格点是被逼的
[02:14.88 - 02:17.48] 就说因为我必须要做得比人好
[02:17.48 - 02:20.44] 这是我觉得做送价是一个最初的
[02:20.44 - 02:22.08] 最初想是必须要做到的
[02:22.08 - 02:22.96] 干着后来发现的
[02:22.96 - 02:25.48] 按照当时的技术就继续采计人数以模仿
[02:25.48 - 02:26.96] 其实会遇到很多的障碍
[02:26.96 - 02:28.28] 分析是证明也是
[02:28.28 - 02:29.92] 确实没法超过人的
[02:29.92 - 02:31.92] 所以要采取一套全新的一套
[02:31.92 - 02:34.00] 训练叫训练反饰
[02:34.00 - 02:35.60] 这个其实刚刚就点到了
[02:35.60 - 02:38.04] 这个其实是会一点营的反扯
[02:38.04 - 02:38.88] 就当时搭建呢
[02:38.88 - 02:40.24] 我们就后来我们叫时间过行
[02:40.24 - 02:41.32] 当然因为当时没晚上
[02:41.32 - 02:42.80] 所以就没怎么叫一点营
[02:42.80 - 02:44.12] 所以第一版是营营其实当时
[02:44.12 - 02:47.84] 莫的就是为了给机器人一个超越人的空间
[02:47.84 - 02:50.00] 这就是我们创造一个训练的环境
[02:50.00 - 02:51.32] 让机器人的国在里面
[02:51.32 - 02:53.24] 自己来这个演技自己去摸走
[02:53.24 - 02:54.32] 怎么开车
[02:54.32 - 02:55.92] 当有时候辞教的训练加效
[02:55.92 - 02:57.16] 训练环境
[02:57.16 - 02:59.36] 这起就看起来是会一点营的时代
[02:59.36 - 03:00.60] 一天才发生到2020年
[03:00.60 - 03:01.68] 但回到更是问题
[03:01.68 - 03:03.92] 就是说我们见时时被逼的
[03:03.92 - 03:05.92] 我必须要怎么做
[03:05.92 - 03:09.12] 对 世界模型在当时可能就是
[03:09.12 - 03:10.24] 就是还是比较稀缺的
[03:10.24 - 03:11.28] 那在今年嘛
[03:11.28 - 03:13.72] 已经是热的大火热火超天的
[03:13.72 - 03:15.20] 然后李菲菲在讲
[03:15.20 - 03:15.96] 黄仁雄在讲
[03:15.96 - 03:17.48] 可能每个人都在讲世界模型
[03:17.48 - 03:19.36] 可能大家讲的也都不一样
[03:19.36 - 03:21.88] 然后回到你们的这个2020年
[03:21.92 - 03:24.88] 习这个词或用世界模型来表达你们的
[03:24.88 - 03:25.80] 这个AI引擎
[03:25.80 - 03:27.12] 但是你们核心
[03:27.12 - 03:28.36] 就是为什么你们做或者说
[03:28.36 - 03:31.12] 你们当时核心想要指的是什么
[03:32.12 - 03:33.88] 到今天回头看
[03:33.88 - 03:36.36] 这其实是今天大家体的第二节时间模型
[03:36.36 - 03:37.36] 整个世界模型有三种
[03:37.36 - 03:38.60] 所以有三节
[03:38.60 - 03:39.76] 第一节其实是更早
[03:39.76 - 03:42.08] 比如现在回过20年的回顾了
[03:42.08 - 03:43.60] 20年前是大家拿一个市区
[03:43.60 - 03:45.36] 你世界深层一些数据
[03:45.36 - 03:47.68] 比如说请天换天与天
[03:47.68 - 03:48.84] 白天变成晚上
[03:48.84 - 03:52.16] 然后各种解析的这种天气的变化
[03:52.16 - 03:53.56] 这个是居于生成的
[03:53.56 - 03:54.72] 或者居于渲染的
[03:54.72 - 03:56.72] 那个时代叫第一节是模型
