[00:00.00 - 00:02.96] 我知道你已经用上了opc.配好了考的code
[00:02.96 - 00:05.88] 但卡帆戏只教你怎么抓去往也键灵viki
[00:05.88 - 00:08.20] 真正有价值的是你能够筛选理解
[00:08.20 - 00:09.80] 调用转化多少信息
[00:09.80 - 00:10.60] 换句话说
[00:10.60 - 00:12.92] 是你的AI能在多大程度上理解你
[00:12.92 - 00:13.64] 超远你
[00:13.64 - 00:15.84] 网上的教程都是教你怎么玩插键
[00:15.84 - 00:17.20] 把opc.变好看
[00:17.20 - 00:18.88] 而不是变成一套彻底懂你
[00:18.88 - 00:20.72] 并且持续进化的甲雷斯
[00:20.72 - 00:21.76] 再过去的一个月
[00:21.76 - 00:23.56] 我用考的code在opc.里
[00:23.56 - 00:25.48] 连续创作了200多张漫画
[00:25.48 - 00:28.36] 不仅完美解决了AI生图一支性的问题
[00:28.36 - 00:30.28] 并且搭建了一套内容创作
[00:30.28 - 00:32.88] 从排版到发布的全自动化工作流
[00:32.88 - 00:33.68] 故事的开始
[00:33.68 - 00:35.20] 就只是一份PDF
[00:35.20 - 00:35.76] 现在
[00:35.76 - 00:38.60] 不管有对任意的AI直接说开始创作
[00:38.60 - 00:40.84] 它就能完全盖着到我之前的工作
[00:40.84 - 00:43.16] 并且创作出我需要风格的画面
[00:43.16 - 00:44.16] 所以本期视频
[00:44.16 - 00:46.76] 我将通过开源我AI创作的全流程
[00:46.76 - 00:48.76] 彻底教会你怎么训练AI
[00:48.76 - 00:50.16] 不管你是自媒体博主
[00:50.16 - 00:51.76] 做品牌应销的市场人
[00:51.76 - 00:53.24] 或者显露人的研究生
[00:53.24 - 00:56.28] 如果你的工作需要重复的收集理解信息
[00:56.28 - 00:57.28] 加产出内容
[00:57.28 - 00:59.44] 却依然每天对着空白文囊发带
[00:59.44 - 01:00.84] 写作排版配图
[01:00.84 - 01:02.20] 每次都要从零开始
[01:02.20 - 01:03.24] 那么我今天的内容
[01:03.24 - 01:04.92] 一定会给你非常大的启发
[01:04.92 - 01:05.76] 最重要的是
[01:05.76 - 01:07.88] 这套系统还会跟着你一起进化
[01:07.88 - 01:08.88] 视频配到文囊
[01:08.88 - 01:10.72] 就是用这套流程制作发布的
[01:10.72 - 01:11.48] 相信我
[01:11.48 - 01:13.20] 这个视频你已经找很久了
[01:13.20 - 01:14.36] 点好受伤的观众赞
[01:14.36 - 01:15.36] 咱们开始上课
[01:15.36 - 01:17.56] 首先Github孙蛇保育Skill
[01:17.56 - 01:19.24] 直接无脑下载这个倉库
[01:19.24 - 01:21.56] 里面包含20多种视觉风格
[01:21.56 - 01:24.52] 还盖了新西图PBT以及漫画制作
[01:24.52 - 01:26.36] 可以一件保存网页推特
[01:26.44 - 01:28.04] 给你的文章自动配图
[01:28.04 - 01:30.12] 今天我们的视频中也会多次使用
[01:30.12 - 01:32.12] 当然下载工具只是第一步
[01:32.12 - 01:33.56] 如果只是建立跟人Weeky
[01:33.56 - 01:35.00] 卡帕西的方式很优雅
[01:35.00 - 01:36.60] Wizalb系列换漫画的方式
[01:36.60 - 01:38.04] 其实和这套逻辑一模一样
[01:38.04 - 01:39.84] 但我想教你的更瘋狂
[01:39.84 - 01:41.04] 看这个文件在啊
[01:41.04 - 01:44.04] 现在AI已经可以自主调用里面所有的资源
[01:44.04 - 01:45.64] 但是最开始就只有一本
[01:45.64 - 01:47.32] 这样的小礼费刀原住
[01:47.32 - 01:49.28] 首先让它调用保育Skill
[01:49.28 - 01:51.76] 直接根据原住的第一回创作漫画
[01:51.76 - 01:53.32] 我没有给它任何的提示词
[01:53.32 - 01:55.28] 它就平感觉创作了15张
[01:55.32 - 01:57.64] 你看初看其实还是挺经验的
[01:57.64 - 01:58.80] 但是如果你仔细看
[01:58.80 - 02:00.72] 出会发现有非常大的罢格
[02:00.72 - 02:03.80] 比如说这两张图出现的配觉完全就是两个人
[02:03.80 - 02:06.08] 就连男主李循环和AFA的形象
[02:06.08 - 02:07.36] 也都是变来变去的
[02:07.36 - 02:08.92] 变前你看整体的配色
[02:08.92 - 02:09.80] 保护度很高
[02:09.80 - 02:12.16] 它就像是给小儿哥看着热血冻漫
[02:12.16 - 02:14.20] 肯定是达不到交付级的效果
[02:14.20 - 02:16.32] 所以现在来在正式创作第一步
[02:16.32 - 02:17.72] 我要先锁定人物
[02:17.72 - 02:20.36] 狼态根据自己对古古小说的理解
[02:20.36 - 02:22.52] 以及一些相关文学作品的描述
[02:22.52 - 02:24.08] 包括创作主角的形象
[02:24.08 - 02:27.24] 我要求是必须符合中国古典五侠的形象
[02:27.24 - 02:29.32] 并且需要使用国风水漠的比数
[02:29.32 - 02:31.12] 需要充满古龙江湖的味道
[02:31.12 - 02:32.76] 而且尤其需要注意的是
[02:32.76 - 02:34.48] 也许用虽然经常可修
[02:34.48 - 02:36.28] 但毕竟展示的是一代大侠
[02:36.28 - 02:37.68] 所以不能过分的病态
[02:37.68 - 02:39.08] 并且我同时上传的定
[02:39.08 - 02:40.76] 多次请健康无形线的阶途
[02:40.76 - 02:43.40] 也许是迪龙化荣生试演的角色装造
[02:43.40 - 02:44.44] 结成给给大家看
[02:44.44 - 02:48.24] 人物形象的我要求他们单独创建人物形象的无念家
[02:48.24 - 02:49.76] 我要求AIM每次在创作前
[02:49.76 - 02:51.36] 必须都先来到这里报道
[02:51.36 - 02:53.84] 尋找并且使用我指定的主角形象
[02:53.84 - 02:57.24] 然后你看这就是它为阿菲和李玄环创作的人物概述
[02:57.24 - 02:59.08] 包含了人物的主要配色
[02:59.08 - 03:00.80] 服势、武器、性格等等
[03:00.80 - 03:02.24] 当然在实际的创作中
[03:02.24 - 03:03.36] 我改了好几版子
[03:03.36 - 03:06.20] 才最终听下来这两版的人物形象
[03:06.20 - 03:07.32] 然后是第二步
[03:07.32 - 03:08.20] 巨型分解
[03:08.20 - 03:09.96] 接着我让AIM根据原住
[03:09.96 - 03:11.96] 单独提取某一张毁的内容
