[00:00.00 - 00:02.00] 你以為芯片恰伯則是光可機
[00:02.00 - 00:03.40] 大錯 特錯
[00:03.40 - 00:04.90] 真正被卡到智希的
[00:04.90 - 00:07.90] 是這12家公司正在拼命凸為的半導體材料
[00:07.90 - 00:09.90] 很多人都被光可機的神話洗腦了
[00:09.90 - 00:11.60] 覺得只要造出EUV光可機
[00:11.60 - 00:13.30] 中國芯片就萬事大吉
[00:13.30 - 00:15.50] 但我今天必須告訴你一個殘酷的真相
[00:15.50 - 00:17.70] 三分設備 七分材料
[00:17.70 - 00:19.30] 一塊紙蓋大小的芯片
[00:19.30 - 00:21.30] 要用上上白一種高層材料
[00:21.30 - 00:22.40] 任何一種斷供
[00:22.40 - 00:24.30] 整條生產線都得停辦
[00:24.30 - 00:25.30] 就像蓋房子
[00:25.30 - 00:27.30] 你有最好的施工隊 最好的圖紙
[00:27.30 - 00:29.80] 但沒有剛精水泥 照樣蓋不起了
[00:29.90 - 00:31.90] 現在國內半導體材料整體國產化率
[00:31.90 - 00:33.20] 才15%左右
[00:33.20 - 00:35.20] 高端領域更是不到10%
[00:35.20 - 00:39.00] 日本一家就壟斷了全球52%的半導體材料市場
[00:39.00 - 00:41.00] 人家只要隨便掐你一種材料
[00:41.00 - 00:42.30] 你再先進的光可機
[00:42.30 - 00:43.80] 也只能當肺鐵擺著
[00:43.80 - 00:44.70] 但好消息是
[00:44.70 - 00:46.10] 經過這麼多年的死科
[00:46.10 - 00:48.60] 我們已經在12個最關鍵的細分賽道
[00:48.60 - 00:50.70] 跑出了各自領域唯一實現量產
[00:50.70 - 00:51.70] 唯一通過認證
[00:51.70 - 00:53.90] 唯一進入全球供應鏈的龍頭企業
[00:53.90 - 00:56.10] 今天我就順著芯片製造的流程
[00:56.10 - 00:59.20] 用大白化把這些真正的隱形冠軍給你掌透
[00:59.30 - 01:00.30] 看完你就知道
[01:00.30 - 01:02.80] 中國半導體的底牌到底是什麼
[01:02.80 - 01:04.90] 咱們先從芯片最基礎的地基說起
[01:04.90 - 01:06.40] 也就是歸基材料
[01:06.40 - 01:07.10] 沒有歸片
[01:07.10 - 01:08.90] 後面所有工序都無從談起
[01:08.90 - 01:11.50] 它佔了整個芯片材料成本的1%
[01:11.50 - 01:13.50] 第一個必須說的就是互歸產業
[01:13.50 - 01:17.10] 國內唯一能規模化量產12英寸大規片的企業
[01:17.10 - 01:18.10] 這個有多難
[01:18.10 - 01:19.40] 花了整整10年
[01:19.40 - 01:20.90] 砸了上百億資金
[01:20.90 - 01:23.70] 才功課了11N超高純度歸料智備
[01:23.70 - 01:25.50] 擔心生長這些核心技術
[01:25.50 - 01:26.60] 現在中心國際
[01:26.60 - 01:29.30] 長江存儲華紅半導體這些頭部金員廠
[01:29.30 - 01:31.50] 用的國產大規片基本都是他家的
[01:31.50 - 01:33.00] 訂單已經排到2028年
[01:33.00 - 01:34.50] 產能還在封款誇張
[01:34.50 - 01:35.80] 除了做芯片的規片
[01:35.80 - 01:39.60] 課實環節還要用到一種特殊的大尺寸單金規部件
[01:39.60 - 01:40.80] 以前全靠進口
[01:40.80 - 01:43.00] 現在國內只有神功股份能做
[01:43.00 - 01:45.60] 它的產品已經出口到日本韓國美國
[01:45.60 - 01:48.60] 直接進入了全球頂級半導體設備廠商的供應鏈
[01:48.60 - 01:49.90] 填補了國內空白
[01:49.90 - 01:50.60] 說完的地基
[01:50.60 - 01:53.30] 咱們再說說最恰伯子的光客環節
[01:53.30 - 01:54.90] 很多人以為光客機是核心
[01:54.90 - 01:56.40] 但其實沒有配套的材料
[01:56.40 - 01:57.60] 光客機就是個擺設
[01:57.60 - 01:59.20] 首當其衝的就是光客膠
[01:59.20 - 02:01.30] 被稱為芯片的港光墨水
[02:01.30 - 02:04.60] 高端A2F光客膠以前100%依賴日本進口
[02:04.60 - 02:05.80] 人家說漲價就漲價
[02:05.80 - 02:07.30] 說斷工就斷工
[02:07.30 - 02:09.60] 現在國內只有南大光電實現了量產
[02:09.60 - 02:12.00] 還通過了中心國際28奈米的認證
[02:12.00 - 02:14.00] 正在做14奈米工藝的驗證
[02:14.00 - 02:16.00] 今年一季度它的光客膠業務營收
[02:16.00 - 02:18.10] 直接爆漲了150%
[02:18.10 - 02:19.30] 這個增速有多恐怖
[02:19.30 - 02:20.20] 大家自己品
[02:20.20 - 02:21.10] 有了光客膠
[02:21.10 - 02:23.30] 光客機還得喝特工飲料才能幹活
[02:23.30 - 02:24.80] 這就是光客氣
[02:24.90 - 02:26.90] 其中最關鍵的奶氣混合氣
[02:26.90 - 02:28.90] 全球只有4家公司能生產
[02:28.90 - 02:31.20] 中國唯一的一家就是華特氣體
[02:31.20 - 02:32.70] 而且它還是國內唯一通過
[02:32.70 - 02:34.90] ASML官方認證的供應商
[02:34.90 - 02:35.90] 說就不客氣的
[02:35.90 - 02:37.40] 沒有華特氣體的氣
[02:37.40 - 02:39.20] ASML賣給我們的光客機
[02:39.20 - 02:40.90] 根本沒法正常開機
[02:40.90 - 02:41.70] 還有
[02:41.70 - 02:44.90] 光客和金員製造都離不開高純實驗製品
[02:44.90 - 02:48.00] 要求純度達到99.99%以上
[02:48.00 - 02:50.10] 這個領域國內非立華沒有對手
[02:50.10 - 02:52.50] 它的產品不僅供應國內所有金員廠
[02:52.50 - 02:53.70] 還出口到全球
[02:53.70 - 02:54.90] 是全球少數幾家
[02:54.90 - 02:57.40] 能生產最高等級實驗製品的企業
[02:57.40 - 02:58.30] 芯片課完了
[02:58.30 - 02:59.70] 接下來就要給它肚膜
[02:59.70 - 03:01.40] 這時候就需要用到瓦才
[03:01.40 - 03:02.70] 芯片的性能好不好
[03:02.70 - 03:04.90] 很大程度上取決於瓦才的蠢度
[03:04.90 - 03:06.80] 這裡面最有的就是江峰電子
[03:06.80 - 03:08.70] 它是唯一進入台積電三娜米
[03:08.70 - 03:09.20] 五娜米
[03:09.20 - 03:11.10] 七娜米供應鏈的國產瓦才商
[03:11.10 - 03:12.40] 台積電的供應鏈有多嚴苛
[03:12.40 - 03:13.40] 不用我多說吧
[03:13.40 - 03:16.00] 能進去就意味著技術達到了世界頂尖水平
[03:16.00 - 03:18.60] 江峰電子的7N級泰把全球領先
[03:18.60 - 03:21.00] 同把國內施戰率超過50%
[03:21.10 - 03:23.90] 今年全年盡力潤預計能衝擊10億大館
[03:23.90 - 03:24.90] 除了江峰電子
[03:24.90 - 03:26.40] 還有一家國家隊也很厲害
[03:26.40 - 03:27.90] 就是有言心財
[03:27.90 - 03:30.60] 它是國內唯一實現股把量產的企業
[03:30.60 - 03:32.50] 股把是製造高端邏輯芯片
[03:32.50 - 03:34.50] 和存儲芯片必不可少的材料
[03:34.50 - 03:36.30] 以前完全被美國壟斷
[03:36.30 - 03:38.90] 同時它還是靈化音趁底的龍頭
[03:38.90 - 03:41.70] 在第三代半導體領域提前布局了很多年
[03:41.70 - 03:42.30] 渡完磨
[03:42.30 - 03:44.00] 芯片表面會凹凸不平
[03:44.00 - 03:45.80] 這時候就得用CNP泡光液
[03:45.80 - 03:47.50] 把它磨得像鏡子一樣平整
[03:47.50 - 03:48.90] 這個技術畢類極高
[03:48.90 - 03:49.80] 以前全球市場
[03:49.90 - 03:51.70] 所以美國和日本的兩家公司壟斷
[03:51.70 - 03:53.20] 現在國內只有安極科技
[03:53.20 - 03:55.30] 能提供全系列的CNP泡光液
[03:55.30 - 03:56.60] 不僅打破了海外壟斷
[03:56.60 - 03:58.10] 產品還覆蓋了台積電
[03:58.10 - 04:01.20] 三星中星國際等全球所有頂級經援廠
[04:01.20 - 04:03.00] 是真正的全球玩家
[04:03.00 - 04:04.50] 剛才提到了食音製品
[04:04.50 - 04:06.10] 製造食音製品的原材料
[04:06.10 - 04:08.10] 半導體級高纏食音沙
[04:08.10 - 04:10.50] 以前更是被美國一家公司獨家壟斷
[04:10.50 - 04:12.40] 我們每年要花幾十億進口
[04:12.40 - 04:14.70] 現在這個局面被食音股份打破了
[04:14.70 - 04:16.70] 它是國內唯一實現半導體級
[04:16.70 - 04:18.60] 高纏食音沙量產的企業
[04:18.60 - 04:20.50] 花了十幾年時間死科技術
[04:20.50 - 04:22.10] 現在不僅能滿足國內需求
[04:22.10 - 04:23.10] 還大量出口
[04:23.10 - 04:26.50] 同時受益於光服和半導體雙賽道的爆發式增長
[04:26.50 - 04:27.80] 業績好的爆炸
[04:27.80 - 04:29.10] 除了這些核心環節
[04:29.10 - 04:31.60] 還有幾個細分賽道的毒苗也特別重要
[04:31.60 - 04:33.10] 少了他們同樣不行
[04:33.10 - 04:34.60] 第一個是雲南者業
[04:34.60 - 04:37.10] 國內唯一擁有者全產業鏈的企業
[04:37.10 - 04:40.30] 同時也是全球第二大零化音趁底供應商
[04:40.30 - 04:41.90] 者是重要的戰略資源
[04:41.90 - 04:45.60] 而零化音是製造光芯片和射品芯片的核心材料
[04:45.60 - 04:47.80] 雲南者業已經和華為深度綁定
[04:47.80 - 04:50.80] 六英寸零化音趁底產能正在快速擴張
[04:50.80 - 04:52.60] 第二個是新來英材
[04:52.60 - 04:56.10] 國內唯一全覆蓋半導體高纏管路系統的企業
[04:56.10 - 04:59.10] 半導體生產需要在超高徵空環境下進行
[04:59.10 - 05:01.30] 對管路和閥門的要求極高
[05:01.30 - 05:03.60] 新來英材的產品覆蓋了徵空閥門
[05:03.60 - 05:05.70] 管道、槍體等所有環節
[05:05.70 - 05:08.30] 是國內經緣廠和封測廠的核心供應商
[05:08.30 - 05:10.10] 最後一個是中汙高興
[05:10.10 - 05:14.00] 國內唯一實現半導體專用切割刀具國產化替代的企業
[05:14.00 - 05:16.30] 切割是芯片封裝的關鍵工序
[05:16.40 - 05:18.70] 以前高端切割刀具全靠進口
[05:18.70 - 05:21.00] 中汙高興一托中國豐富的污資源
[05:21.00 - 05:22.50] 成功打破了海外壟斷
[05:22.50 - 05:25.60] 現在已經進入了全球所有主流封測廠的供應鏈
[05:25.60 - 05:26.60] 最後我想說
[05:26.60 - 05:28.70] 這些公司不是什麼炒概念的腰骨
[05:28.70 - 05:31.00] 他們是中國半導體真正的幾量
[05:31.00 - 05:32.50] 他們每突破一個技術閉嘴
[05:32.50 - 05:34.30] 我們就少被踩一次脖子
[05:34.30 - 05:35.80] 他們每多賣出一件產品
