[00:00.00 - 00:01.60] 咱们把设备聊完之后
[00:01.60 - 00:02.52] 这集视频
[00:02.52 - 00:04.64] 书里先进风装材料相关埋落
[00:04.64 - 00:06.40] 材料领域技术门砍更高
[00:06.40 - 00:08.80] 本土配套水平整体步级设备端
[00:08.80 - 00:11.56] 不少核心品类时常主要由海外企业占据
[00:11.56 - 00:13.44] 行业有着不小的成长空间
[00:13.44 - 00:14.12] 国内企业
[00:14.12 - 00:16.36] 躺着在西分塞道取得技术突破
[00:16.36 - 00:18.28] 后续发展前例值得关注
[00:18.28 - 00:21.32] 先来聊聊技术壁类较高的核心风装机彩
[00:21.32 - 00:23.32] 这类材料直接影响高贷款内存
[00:23.32 - 00:26.40] 等三维堆叠风装的使用性能与稳定程度
[00:26.40 - 00:28.08] 首先是还养素风料
[00:28.08 - 00:30.52] 涵盖颗粒与底部填充两类品类
[00:30.52 - 00:32.96] 现阶段高贷款内存配套彩料本土
[00:32.96 - 00:34.08] 攻击规模偏小
[00:34.08 - 00:36.28] 市场大多掌握在海外企业手中
[00:36.28 - 00:40.00] 华海城科具备高贷款内存专用颗粒素风料量产能力
[00:40.00 - 00:41.68] 产品各项指标达标
[00:41.68 - 00:43.56] 可适配十二层对跌工艺
[00:43.56 - 00:45.68] 也已经向相关场上稳定功货
[00:45.68 - 00:47.28] 企业完成并购整合后
[00:47.28 - 00:48.76] 行业地位稳部提升
[00:48.76 - 00:50.40] 相关产品引力表现可观
[00:50.40 - 00:52.20] 非凱彩料同样有所布局
[00:52.20 - 00:54.56] 现阶段产品多用于功率期间领域
[00:54.56 - 00:57.08] 也规划新增产现向高端品的延伸
[00:57.08 - 00:59.36] 后续产能释放要看客户验证进度
[00:59.36 - 01:01.76] 及次是高端芯片再版核心数值
[01:01.76 - 01:04.04] 该品类市场长期由海外品牌主导
[01:04.04 - 01:06.44] 华阵新财自研相关数值彩料
[01:06.44 - 01:10.00] 性能对标海外主流产品且具备成本优势
[01:10.00 - 01:12.44] 现役通过客户测试时限批量功货
[01:12.44 - 01:14.92] 预级2025年能够在头部场上中
[01:14.92 - 01:16.28] 收获相应市场份额
[01:16.28 - 01:17.36] 还有巨线压安
[01:17.36 - 01:19.20] 以及光明巨线压安彩料
[01:22.20 - 01:24.56] 相关产品正在客户出压证推进
[01:24.56 - 01:27.56] 首款光明巨线压安光可交也达成功货合作
[01:27.56 - 01:28.80] 取得阶段新进展
[01:28.80 - 01:31.00] 顶龙股份也在此领域布局研发
[01:31.00 - 01:33.68] 暂时还为大规模投入先进风装场景使用
[01:33.68 - 01:35.44] 顶龙股份再这块也有布局
[01:35.44 - 01:36.92] 不过在先进风装领域
[01:36.92 - 01:38.56] 还没到大规模应用的阶段
[01:38.56 - 01:40.36] 再来看黄光制成彩料
[01:40.36 - 01:42.84] 也就是光克和电度的配套号采
[01:42.84 - 01:46.12] 这块的国产化率在百分之零到百分之五十之间分化
[01:46.12 - 01:47.48] 光可交集配套世纪
[01:47.48 - 01:49.52] 整体国产化率不到百分之十
[01:49.52 - 01:52.44] 高端后焦基本依赖默克和日本的几家大厂
[01:52.44 - 01:55.04] 埃森股份在先进风装光克交这块
[01:55.04 - 01:56.32] 算是国内领先的
[01:56.32 - 01:59.28] 也是唯一打破日本巨头壟断的国内供应商
[01:59.28 - 02:00.48] 在盛合精微
[02:00.48 - 02:03.28] 长电还有华为区量电子都有放量
[02:03.28 - 02:07.20] 更是长新高带宽内存先进风装光克交的核心供应商
[02:07.20 - 02:08.88] 份额超过了百分之五十
[02:08.88 - 02:12.20] 另外同身新财的线和客户光克交也在加速放量
[02:12.20 - 02:13.32] 亚福也在突破
[02:13.32 - 02:15.08] 至于电度业和添加级
[02:15.08 - 02:16.28] 分化就挺明显的
[02:16.32 - 02:18.48] 黄金电度业国产化率是零
[02:18.48 - 02:21.16] 但吸引和涅电度业超过了百分之五十
[02:21.16 - 02:22.72] 埃森股份同样是主力
[02:22.72 - 02:26.32] 在大马市阁工艺和先进风装电度业上加速放量
[02:26.32 - 02:30.32] 在华红先进之城那边的电度业份额到了百分之五十
[02:30.32 - 02:31.60] 算第一供应商
[02:31.60 - 02:33.44] 而且他们的玻璃通宫要水
[02:33.44 - 02:36.00] 在升宽比十到十五的田孔效率上
[02:36.00 - 02:37.52] 已经超过了国际品牌
[02:37.52 - 02:40.48] 安吉科技则是电度业搭配泡光业一起上
[02:40.48 - 02:43.16] 大马市阁电度业已经进入量产阶段
[02:43.16 - 02:45.92] 上海新亚在中心国际这些前道经缘厂
[02:45.92 - 02:47.20] 也有正式业绩
[02:47.20 - 02:49.52] 电度业的營收和利润表现不错
[02:49.52 - 02:52.20] 天城科技的半岛体电度业也在同步放量
[02:52.20 - 02:55.44] 现在正和埃森在玻璃几万药水上积极推进
[02:55.44 - 02:58.20] 配套的嫌疑业国产化率大概在百分之十
[02:58.20 - 03:00.00] 格林达是国内的核心龙头
[03:00.00 - 03:01.80] 成结了国家专项公关
[03:01.80 - 03:03.68] 韩平验证已经进入伟伸
[03:03.68 - 03:05.64] 南大光电和同城新采
[03:05.64 - 03:07.80] 也有匹配自己光克交的嫌疑业
[03:07.80 - 03:08.76] 相较而言
[03:08.76 - 03:11.80] 化学机械抛光材料的国产化率稍微好看一点
[03:11.80 - 03:13.56] 大概在百分之五十左右
[03:13.56 - 03:15.64] 现在主要看先进制程的迭代
[03:15.64 - 03:18.08] 安级科技是国内泡光业的龙头
[03:18.08 - 03:20.16] 全球实际上率能到百分之十三
[03:20.16 - 03:23.80] 他们的先进风装用泡光业已经服务国内客户十二年了
[03:23.80 - 03:27.44] 目前规通孔和混合件和泡光业都已经拿到了定单
[03:27.44 - 03:30.12] 顶龙股份则是国内泡光店的绝对龙头
[03:30.12 - 03:32.48] 现在泡光业和清洗业也在快速上量
[03:32.48 - 03:35.04] 上海新洋这边则主要以规类泡光业为主
[03:35.04 - 03:37.88] 最后咱们聊聊高端填料和基本材料
[03:37.88 - 03:40.80] 这是人工只能驱动下性能升级的受益方向
[03:40.80 - 03:42.76] 一个是规微粉和氧化铝粉
[03:42.76 - 03:44.64] 在高代宽内存素风料里
[03:44.64 - 03:49.24] 这种DR法设现的球型规和球型铝成本站比能到百分之五十
[03:49.24 - 03:51.48] 但高端产品过去国产化很低
[03:51.48 - 03:53.76] 连锐芯材在这块是国内领先的
[03:53.76 - 03:56.36] 直接受益于国内供应链的高端化迭代
[03:56.36 - 04:00.32] 他们的DR法球规和球铝已经贡献了几千万元的收入
[04:00.32 - 04:02.28] 国资材料作为借质粉龙头
[04:02.28 - 04:04.92] 现在对接台系客户的速度也在加快
[04:04.92 - 04:07.76] 另一个大趋势是玻璃机板和相关的号彩
[04:07.76 - 04:10.72] 未来玻璃机板替代传统材质的趋势很明确
[04:10.72 - 04:14.04] 这里面的核心增量就是通孔电度药水和绝员层
[04:14.04 - 04:17.56] 艾森股份的玻璃通孔用光刻胶已经小批量放量
[04:17.56 - 04:18.96] 卡维优势很明显
[04:18.96 - 04:21.60] 天辰科技也披露了他们的玻璃通孔填孔
[04:21.60 - 04:23.52] 在电度加工效率和量率上
[04:23.52 - 04:25.20] 已经超过了某家国际品牌
[04:25.20 - 04:28.32] 此外聚合材料也在卡维也模板相关的基本
[04:28.32 - 04:31.20] 同样在享受风装层数增加带来的增量需求
[04:31.20 - 04:32.96] 其实把这些材料公司串下来
[04:32.96 - 04:33.96] 未来怎么看
[04:33.96 - 04:35.40] 逻辑非常清晰
[04:35.40 - 04:36.76] 主要就三条主线
[04:36.76 - 04:40.52] 第一条是高带宽内存核心机彩从零到一的突破
[04:40.52 - 04:44.36] 这就是花海城科的速封料和华正新才的再版数值
[04:44.36 - 04:47.20] 这两家是在解决最核心的卡脖子问题
[04:47.20 - 04:49.24] 享受的是极高的稀缺性异价
[04:49.24 - 04:52.84] 第二条是黄光和电度号材的国产核心地位确立
[04:52.84 - 04:54.44] 代表就是艾森股份
[04:54.44 - 04:56.32] 即使风装光刻胶的核心
[04:56.32 - 04:58.64] 又是电度业的第一供应上
[04:58.64 - 05:02.68] 在长新和长存的国内存储链里确定性最强
[05:02.68 - 05:05.00] 第三条就是半岁人工智能性能升级
[05:05.00 - 05:06.76] 带来的材料价值量提升
[05:06.76 - 05:08.24] 向连锐心彩的高端球
[05:08.24 - 05:09.28] 归球驴
[05:09.28 - 05:12.12] 还有安级科技的规通孔和轰合件核胞光业
[05:12.12 - 05:15.04] 属于从能封装向高性能封装眼镜的受益者
[05:15.04 - 05:17.64] 材料这块的水确实比设备还要深
[05:17.64 - 05:20.36] 里面这些公司的身位和进度也各有不同
[05:20.36 - 05:23.56] 今天先跟你把这些核心标记的卡位顺道者
[05:23.56 - 05:26.64] 后面就看谁的客户端放量数据先跑出来了
[05:26.64 - 05:28.24] 等郭镇子有新的变化
[05:28.24 - 05:29.96] 咱们在约时间继续细盘
