[00:00.00 - 00:03.00] 这两周估计大家都可以已经分化了 是吧
[00:03.00 - 00:04.30] 价值投机的很爽
[00:04.30 - 00:06.30] 但是你怕错了地方就不太好受
[00:06.30 - 00:09.00] 跟大家同步一下这个产业跟卖方信息
[00:09.00 - 00:10.80] 然后讲一下这个红关的变动
[00:10.80 - 00:13.00] 那卖方信息肯定是跟大家去筛选过了
[00:13.00 - 00:16.80] 不然一天几时调除了程序化机器人谁搞不定你对吧
[00:16.80 - 00:19.30] 那我们不跟他们拼速度比的是景气度
[00:19.30 - 00:21.30] 高景气度行业和预期反转
[00:21.30 - 00:23.00] 那先聊一下红关上的
[00:23.00 - 00:24.40] 关于老美的缩表
[00:24.40 - 00:26.50] 我可以跟大家去讲缩不了一点
[00:26.50 - 00:28.70] 可能有朋友说现在全球流动性没有问题
[00:28.70 - 00:30.70] 但是因为我们在做本币呼唤
[00:30.70 - 00:31.70] 去年还是什么时候
[00:31.70 - 00:33.70] 我跟大家去讲这个美的TGA队业
[00:33.70 - 00:36.40] 你会够等等的时候是不是已经很清晰了
[00:36.40 - 00:38.40] 那头的流动性池也很浅
[00:38.40 - 00:39.90] 比如非洲的一个小国
[00:39.90 - 00:41.70] 我外汇除了一共就几千亿
[00:41.70 - 00:43.20] 又得买这个又得买那个
[00:43.20 - 00:46.20] 那跟我们做了呼唤绝大部分可以通过我们这里买
[00:46.20 - 00:47.70] 买不到的再用它的外储
[00:47.70 - 00:48.20] 对吧
[00:48.20 - 00:50.20] 所以你能看到我们的出口是不是也很强
[00:50.20 - 00:52.40] 那更何况全球资产到了这个位置
[00:52.40 - 00:53.90] 不需要流动性去拖着吗
[00:53.90 - 00:55.60] 人家本来就是幼林 CDP
[00:55.60 - 00:56.80] 你还想去抽一下 是吧
[00:56.80 - 00:58.60] 那这可就不是百年变局了
[00:58.60 - 01:00.20] 那就是眼白瞧着的事了 对吧
[01:00.20 - 01:03.20] 那至于有朋友问那个什么探促的风险
[01:03.20 - 01:05.20] 我听说还给了个大致时间 是吧
[01:05.20 - 01:06.40] 那我举个例子
[01:06.40 - 01:08.20] 你知道一个人得了一个高学呀
[01:08.20 - 01:10.60] 你能告诉我他什么时候躺着吗
[01:10.60 - 01:12.70] 你是来做投资的不是算命的
[01:12.70 - 01:14.80] 那在一个我们国内等市场量一点
[01:14.80 - 01:15.90] 我们再细讲
[01:15.90 - 01:18.00] 那估计这会儿他还没心思听 是吧
[01:18.00 - 01:19.20] 我先说一个结论
[01:19.20 - 01:21.80] 上周大家看到这个政监严肃查处
[01:21.80 - 01:23.40] 这个TGA和副图媒
[01:23.40 - 01:26.00] 我认为这就是在通常的前照
[01:26.00 - 01:27.60] 大家需要加速区做一个准备
[01:27.60 - 01:28.80] 上周二零二五
[01:28.80 - 01:30.40] 央行货币政策报告出来了
[01:30.40 - 01:31.90] 十个十几年
[01:31.90 - 01:33.00] 十几年我忘了
[01:33.00 - 01:34.20] 再提试度换送
[01:34.20 - 01:36.00] 上一次是零八年
[01:36.00 - 01:37.30] 试度换了多少呢
[01:37.30 - 01:38.30] 大家很熟悉是吧
[01:38.30 - 01:39.20] 四个手指头
[01:39.20 - 01:40.40] 那个时候的四万一
[01:40.40 - 01:42.60] 实际上得多了三倍
[01:42.60 - 01:43.60] 后来给干通脏了
[01:43.60 - 01:44.70] 所以10年往后
[01:44.70 - 01:46.20] 十几年再没有提过
[01:46.20 - 01:47.50] 所以从红关上来看
[01:47.50 - 01:49.60] 大家需要担心在通脏的问题吗
[01:49.60 - 01:50.70] 是不是市场一伙着
[01:50.70 - 01:52.20] 大家都不关心了 是吧
[01:52.20 - 01:53.40] 在一个咱们的M2
[01:53.40 - 01:54.60] 刚到340万一
[01:54.70 - 01:56.00] 大家可能没概念
[01:56.00 - 01:57.30] 美元 日元 欧元
[01:57.30 - 01:59.40] M2加起来不到300
[01:59.40 - 02:00.60] 所以大家应该清楚
[02:00.60 - 02:01.40] 经济体制转型
[02:01.40 - 02:02.40] 需要多大的盆
[02:02.40 - 02:03.40] 货币需求量大
[02:03.40 - 02:04.40] 说明你经济体量大
[02:04.40 - 02:04.90] 对吧
[02:04.90 - 02:06.00] 那为什么说这个事
[02:06.00 - 02:07.60] 是在通脏的前照
[02:07.60 - 02:09.60] 多印本不会带来通脏
[02:09.60 - 02:10.40] 两个因素
[02:10.40 - 02:12.00] 一个是你生产力的提升速度
[02:12.00 - 02:13.30] 你产生的货物多了
[02:13.30 - 02:14.60] 你多印的某上去
[02:14.60 - 02:15.60] 无价平稳
[02:15.60 - 02:16.90] 少了 甚至还缩点
[02:16.90 - 02:19.20] 那第二个就是印出来的去哪了
[02:19.20 - 02:20.20] 这个很重要
[02:20.20 - 02:21.40] 比如上个世纪末的日本
[02:21.40 - 02:22.40] 泡泡破了之后
[02:22.40 - 02:24.00] 日本央行印了大量的钱
[02:24.00 - 02:25.80] 去维持日本企业不破产
[02:25.80 - 02:27.10] 就是债务不初心
[02:27.10 - 02:29.40] 导致资金在企业和银行监控转
[02:29.40 - 02:31.60] 相当于放弃了新生代年轻人
[02:31.60 - 02:34.10] 对原有的社会劳动力和企业进行维稳
[02:34.10 - 02:35.90] 那大家可以去科普一下日本的这个
[02:35.90 - 02:36.70] 兵合一代
[02:36.70 - 02:37.60] 实际上跟我们现在
[02:37.60 - 02:39.40] 很多的年轻人提感是一样的
[02:39.40 - 02:41.60] 这就叫泡泡刺破后的八分效应
[02:41.60 - 02:43.20] 所以你对应我们这样年的动作
[02:43.20 - 02:45.40] 是不是就是在避免走日本的老路
[02:45.40 - 02:46.10] 刺破地产
[02:46.10 - 02:47.20] 拿掉手工补吸
[02:47.20 - 02:48.50] M2防火镜等等
[02:48.50 - 02:49.00] 那在一个
[02:49.00 - 02:50.60] 是不是日本泡泡破了后
[02:50.70 - 02:52.40] 老美的互联网疯狂就开始了
[02:52.40 - 02:52.60] 对吧
[02:52.60 - 02:54.90] 加上90年代后的低吸率
[02:54.90 - 02:55.90] 大量的投吸交易
[02:55.90 - 02:57.60] 就是从90年代后开始了
[02:57.60 - 02:59.50] 所以你看它怎么印都不通脏
[02:59.50 - 03:01.10] 放水你的盆是不能漏
[03:01.10 - 03:01.60] 对吧
[03:01.60 - 03:03.10] 那在一个还是精准低罐
[03:03.10 - 03:04.10] 不会慢罐
[03:04.10 - 03:06.80] 反应在物价水平上的体感会脍弱
