[00:00.59 - 00:03.39] 大家好,今天給大家分享一個非常火的倉庫
[00:03.39 - 00:04.79] 叫Tradeen Agents
[00:04.79 - 00:07.27] 它在投眼領域目前是排第1
[00:07.27 - 00:08.79] 而且增速非常的快
[00:08.79 - 00:10.79] 已經拿了65K的薩
[00:10.79 - 00:14.79] 它一共給配置了12個A卷的投眼團隊
[00:14.79 - 00:16.79] 讓你進行投資的分析
[00:16.79 - 00:17.79] 然後開始之前
[00:17.79 - 00:18.79] 我再說一下
[00:18.79 - 00:20.79] 本期只拆解開源的項目加購
[00:20.79 - 00:22.79] 不夠成任何的建議
[00:22.79 - 00:27.90] 為什麼要用這個12個A卷的投眼團隊
[00:27.90 - 00:30.30] 因為單A卷它只有一個分析式
[00:30.30 - 00:31.50] 數據進,結論出
[00:31.50 - 00:33.10] 沒有對抗沒有質疑這個產出
[00:33.10 - 00:35.10] 其實你不知道它的質量好壞的
[00:35.10 - 00:37.10] 如果你配備了12個A卷的話
[00:37.10 - 00:37.90] 它有分析的
[00:37.90 - 00:38.70] 有辨論的
[00:38.70 - 00:39.50] 有裁判的
[00:39.50 - 00:40.10] 有封控的
[00:40.10 - 00:41.70] 最後還有拍板的
[00:41.70 - 00:43.70] 這個真的是看多跟看空
[00:43.70 - 00:47.70] 真刀真槍的在互相去辨論
[00:47.70 - 00:49.30] 這個整套的Tradeen Agents
[00:49.30 - 00:50.10] 它有5層的流水
[00:50.10 - 00:51.70] 首先第一層是信息的採集
[00:51.70 - 00:53.20] 它有4個分析式
[00:53.20 - 00:55.30] 技術分析與請新聞基本面
[00:55.30 - 00:58.30] 它據通過API來拉這個數據
[00:58.30 - 00:59.90] 然後第二層是多空的辨論
[00:59.90 - 01:01.30] 根據這4分報告
[01:01.30 - 01:04.10] 多頭空頭分別
[01:04.10 - 01:05.90] 出據它們的觀點
[01:05.90 - 01:07.70] 然後第三輪是裁判的判定
[01:07.70 - 01:10.90] 它讀完多頭跟空頭的辨論記錄之後
[01:10.90 - 01:12.30] 判定是一個有說服力
[01:12.30 - 01:14.70] 然後輸出無黨的評級
[01:14.70 - 01:16.50] 第4輪是風險委員會
[01:16.50 - 01:18.10] 這個也是投眼公司的一些標配
[01:18.10 - 01:21.50] 然後它進行基金派、保守派、中心派
[01:21.50 - 01:23.30] 三方再也再吵一輪
[01:23.30 - 01:25.10] 最後就是Boss
[01:25.10 - 01:27.10] 根據所有的這些信息
[01:27.10 - 01:28.30] 跟歷史的記憶
[01:28.30 - 01:29.90] 然後形成最終一個結論
[01:29.90 - 01:33.97] 然後你的分析的結論就出來了
[01:33.97 - 01:35.57] 然後我從每個層級
[01:35.57 - 01:37.37] 跟大家在詳細拆解一下
[01:37.37 - 01:38.17] 首先第一個的
[01:38.17 - 01:39.57] 它是第一層是四個分析式
[01:39.57 - 01:41.57] 然後它通過API的數據
[01:41.57 - 01:44.57] 去進行它自己頂域的調研
[01:44.57 - 01:46.57] 我分析的是這個Amazon
[01:46.57 - 01:48.17] 就是亞馬遜
[01:48.17 - 01:49.17] 然後它記住分析
[01:49.17 - 01:50.77] 它去調這些MACD的數據
[01:50.77 - 01:53.17] 然後雨晴它去抓一些新聞
[01:53.17 - 01:54.17] 但是我這次實測的
[01:54.17 - 01:55.97] 它返回的新聞是空的
[01:55.97 - 01:56.97] 雨晴是空的
[01:56.97 - 01:57.77] 然後新聞分析式
[01:57.77 - 01:59.97] 它就會去抓一些宏觀的新聞
[01:59.97 - 02:00.77] 相關的新聞
[02:00.77 - 02:03.57] 基本面分析就去分析它的財務數據
[02:03.57 - 02:04.57] 然後這四個分析式
[02:04.57 - 02:07.17] 就會出據四分報告
[02:07.17 - 02:09.57] 它的這個方向的報告
[02:09.57 - 02:10.97] 然後多空的對決
[02:10.97 - 02:12.77] 就是多頭
[02:12.77 - 02:15.17] 它看多的原因是什麼
[02:15.17 - 02:17.17] 它會給根據這個報告
[02:17.17 - 02:19.17] 分析出來看多的原因
[02:19.17 - 02:21.37] 然後空頭它會根據這些報告
[02:21.37 - 02:23.57] 跟這些信息結合分析出來
[02:23.57 - 02:24.77] 它看空的原因
[02:24.77 - 02:26.37] 然後再到第三個層級
[02:26.37 - 02:27.77] 就是風險委員會
[02:27.77 - 02:28.57] 風險委員會
[02:28.57 - 02:31.17] 就會進行一個討論
[02:31.17 - 02:32.77] 激進的保守的中性的
[02:32.77 - 02:36.64] 大家都會出各自的這個結論
[02:36.64 - 02:38.24] 然後最後就是這個總經理
[02:38.24 - 02:40.04] 根據這些結論進行的拍板
[02:40.04 - 02:41.24] 它會選擇裁那的觀點
[02:41.24 - 02:42.44] 你看它裁那的
[02:42.44 - 02:43.24] 左邊那個觀點
[02:43.24 - 02:44.64] 就是基本面很扎實
