[00:00.00 - 00:02.68] 本地Agent是AI發展現在最重要的領域
[00:02.68 - 00:04.40] 也是普通人跟上這個AI時代
[00:04.40 - 00:05.68] 我覺得最直接的方式
[00:05.68 - 00:08.68] 如果你現在的人然每天只是跟那個聊天機器人
[00:08.68 - 00:09.56] 在問一些問題
[00:09.56 - 00:11.80] 還沒有正式去接觸過本地Agent
[00:11.80 - 00:13.00] 覺得概念太多啊
[00:13.00 - 00:13.84] 沒有頭緒啊
[00:13.84 - 00:14.68] 不知道從哪裡開始
[00:14.68 - 00:16.08] 這個視頻就特別適合你
[00:16.08 - 00:18.28] 它不是一個簡單的工具教程
[00:18.28 - 00:21.28] 而是會告訴你普通人使用Agent的這個方法論
[00:21.28 - 00:24.00] 不管你是用哪一個Agent都可以用上這套邏輯
[00:24.00 - 00:25.76] 如果讓我來給Agent的排名的話
[00:25.76 - 00:27.92] 我覺得世界上T0級別的應該是4個
[00:27.92 - 00:30.68] CodeCodeX OpenCode和PieAgent
[00:30.68 - 00:32.16] 不過你有自己用的順手的Agent它
[00:32.16 - 00:33.64] 其實大致的邏輯都是一樣的
[00:33.64 - 00:35.68] 但我今天想帶大家試點好的
[00:35.68 - 00:38.12] 剛才提到的前三個Agent主要的作用
[00:38.12 - 00:39.52] 基本上就是幫你寫代碼
[00:39.52 - 00:40.72] 因為你看到它名字裡面
[00:40.72 - 00:42.52] 都帶有一個Code這樣一個單次
[00:42.52 - 00:44.72] 你可以在網上收到大量大量的教程
[00:44.72 - 00:45.40] 但其中啊
[00:45.40 - 00:47.76] 這個PieAgent是裡面最冷門的一個
[00:47.76 - 00:50.84] 國內我看到網上幾乎沒有人特別去了這個主題
[00:50.84 - 00:51.36] 但是呢
[00:51.36 - 00:52.84] 它也是最特別的一個
[00:52.84 - 00:55.12] 因為它不是去專門幫你寫代碼的
[00:55.12 - 00:57.24] 它是幫你去完成日常任務的
[00:57.28 - 00:57.84] 大家看喔
[00:57.84 - 00:59.60] 在這個Open Router的排行榜上呢
[00:59.60 - 01:02.84] PieA的這個每天的頭肯消耗量是排在第六名的
[01:02.84 - 01:04.76] 除了前面兩個亂消耗的大哥
[01:04.76 - 01:06.44] 它僅僅的排在了大名
[01:06.44 - 01:07.44] 僅僅的CodeCode後面
[01:07.44 - 01:09.64] OpenICodeX負責人今天還說
[01:09.64 - 01:11.84] 他們大概有百分之五的生產流量
[01:11.84 - 01:15.04] 已經跑在了PieAgent出來的Agent的上面
[01:15.04 - 01:16.00] 別開這百分之五
[01:16.00 - 01:18.48] 你放在CodeX這個量級的工具裡面
