[00:00.00 - 00:02.72] 科技股回条什么时候结束
[00:02.72 - 00:06.80] 结束之后重点捏鼻子加上了方向有哪些
[00:06.80 - 00:08.40] 一条视频了清楚
[00:08.40 - 00:11.52] 科技股短期的焯跌反弹一处计发
[00:11.52 - 00:13.64] 但真正的回条到位
[00:13.64 - 00:14.40] 期稳
[00:14.40 - 00:18.04] 重仓盟干的时间点要到6月中旬之后
[00:18.04 - 00:21.00] 焯跌反弹要求你短贫快
[00:21.00 - 00:22.72] 因为反弹是有窗口的
[00:22.72 - 00:23.68] 来晚了
[00:23.68 - 00:25.24] 你就是那个买单的人
[00:25.24 - 00:28.80] 重仓盟干要求你很一把就重仓
[00:28.92 - 00:31.04] 先把这个事聊清楚之后
[00:31.04 - 00:32.40] 我们再聊未来
[00:32.40 - 00:35.48] 捏鼻子加藏的科技细分方向
[00:35.48 - 00:38.04] 为什么短期焯跌反弹一处计发
[00:38.04 - 00:39.76] 说白了就是跌太快了
[00:39.76 - 00:41.92] 你不需要找基本面的原因
[00:41.92 - 00:44.64] 很多股民朋友一看下跌就开始问
[00:44.64 - 00:46.40] 是不是公司又检辞了
[00:46.40 - 00:47.52] 定单不够了
[00:47.52 - 00:49.12] 业级不及预期了
[00:49.12 - 00:50.72] 实际上都没关系
[00:50.72 - 00:52.88] 涨需要理由涨
[00:52.88 - 00:55.60] 不需要理由下跌需要理由
[00:55.60 - 00:57.40] 下跌不需要理由
[00:57.40 - 01:00.36] 你见过一个指数两天跌10%的吗
[01:00.36 - 01:01.84] 业级发生了什么变化吗
[01:01.84 - 01:02.64] 基本没有变化
[01:02.64 - 01:03.64] 没有的
[01:03.64 - 01:05.92] 科创版做到了两天跌10%
[01:05.92 - 01:09.28] 关丽丽与也从日线30跌到了10
[01:09.28 - 01:10.60] 跌跌必有修复
[01:10.60 - 01:13.44] 而且直接打到了向上的跳空缺口
[01:13.44 - 01:15.84] 这个位置是资金成交密集区
[01:15.84 - 01:17.76] 会给你两天的反弹窗口
[01:17.76 - 01:19.60] 记得短贫快
[01:19.60 - 01:22.28] 你要是性格犹豫 幽露寡断
[01:22.28 - 01:24.44] 焯跌反弹你就别参与了
[01:24.44 - 01:26.80] 焯跌反弹这会儿别看基本面
[01:26.80 - 01:28.72] 就选两个极端的方向
[01:28.72 - 01:29.88] 什么叫极端
