[00:00.00 - 00:01.38] 四个月没更新了
[00:01.38 - 00:02.94] AI的世界都变化了好几轮了
[00:02.94 - 00:04.48] 从小龙虾到外马市
[00:04.48 - 00:06.10] 但是A阵的底层正让没变
[00:06.10 - 00:07.50] AI阵的流行一年
[00:07.50 - 00:09.66] 竟然没有人真正讲底层的方法
[00:09.66 - 00:11.58] 给大家做一个有趣的小试验
[00:11.58 - 00:13.96] 123758成为123756
[00:13.96 - 00:15.06] 等于多少
[00:15.06 - 00:17.70] 它说等于153175
[00:17.70 - 00:19.10] 763
[00:19.10 - 00:20.26] 是吧
[00:20.26 - 00:21.40] 你们可以去试啊
[00:21.40 - 00:22.60] 就这个数
[00:22.60 - 00:24.42] 它算出来的N次它都不对
[00:24.42 - 00:25.30] 但是呢
[00:25.30 - 00:28.28] 这个时候你跟它说
[00:28.28 - 00:29.88] 空心一步 一步 其算
[00:29.88 - 00:30.84] 就这一句题试词
[00:30.84 - 00:34.12] 可以提高它90%的准确率
[00:34.12 - 00:36.02] 看它对不对
[00:36.02 - 00:37.44] 153167603
[00:37.44 - 00:38.84] 是吧
[00:38.84 - 00:40.24] 15316760348
[00:40.24 - 00:41.16] 这回就对了
[00:41.16 - 00:41.92] 看到了吧
[00:41.92 - 00:43.00] 就这一句题试词
[00:43.00 - 00:45.52] 可以提高它90%的准确率
[00:45.52 - 00:47.28] 这个叫思维链题试
[00:47.28 - 00:48.84] 这期12个最重要的原理
[00:48.84 - 00:50.32] 全部加速上一期
[00:50.32 - 00:51.28] 一口气并讲完
[00:51.28 - 00:52.40] 学习AI的一千天
[00:52.40 - 00:54.32] 一口气学12个A阵的底层原理
[00:54.32 - 00:55.64] 一个问题啊
[00:55.64 - 00:57.20] AI一来也回到这句话
[00:57.20 - 00:58.40] 底层到底是啥样的
[00:58.40 - 00:59.48] 你给它一组参数
[00:59.48 - 01:02.16] 参数里装的是你跟它来回的对话
[01:02.16 - 01:03.40] 它都按这个参数
[01:03.40 - 01:04.28] 接着写下一句
[01:04.28 - 01:05.84] 这就是卖先至数损
[01:05.84 - 01:07.04] AI唯一的对话通道
[01:07.04 - 01:08.04] 空的数损出去
[01:08.04 - 01:09.04] 它一字的手损出来
[01:09.04 - 01:10.08] 实际上你发过去的
[01:10.08 - 01:11.52] 是一个G線的格式的数损
[01:11.52 - 01:12.88] 里面包含了各个参数
[01:12.88 - 01:13.72] 大码形容的一侧
[01:13.72 - 01:15.68] 收到了这个数损的格式是这样的
[01:15.68 - 01:17.08] 那大码形收到了
[01:17.08 - 01:17.80] 这个东西呢
[01:17.80 - 01:19.40] 它就可以返回消息编辨
[01:19.40 - 01:20.72] 这个就是你和AI句话
[01:20.72 - 01:24.40] 之前的底层的数损格式
[01:24.40 - 01:26.04] AI怎么记住你刚才说过的话呢
[01:26.04 - 01:27.52] 我告诉你一个真相
[01:27.52 - 01:28.92] 它根本就没有任何的记忆
[01:28.92 - 01:29.92] AI跟进于一样
[01:29.92 - 01:31.24] 每一节一次
[01:31.24 - 01:33.52] 请求都是重新开始把上下文
[01:33.52 - 01:34.52] 再喂给它
[01:34.52 - 01:35.52] 把全部的底层对话
[01:35.52 - 01:36.56] 重新塞回去给它
[01:36.56 - 01:38.32] 这个就是上下文的窗口
[01:38.32 - 01:39.16] 所以AI的记忆
[01:39.16 - 01:40.64] 实际上没有任何记忆
[01:40.64 - 01:41.92] 所谓的记忆就是上下文
[01:41.92 - 01:43.00] 下半是一个例子
[01:43.00 - 01:44.40] 把两文的请求拉出来
[01:44.40 - 01:44.92] 你看一下
[01:44.92 - 01:46.04] 那第一轮请求是这样的
[01:46.04 - 01:46.84] 我养了之
[01:46.84 - 01:48.28] 猫叫小花
[01:48.28 - 01:49.44] 然后AI回复
[01:49.44 - 01:50.60] 小花是什么品种
[01:50.60 - 01:51.96] 然后你第二次在问的时候
[01:51.96 - 01:53.40] 它会把你之前的所有的
[01:53.40 - 01:54.20] 底层对话呢
[01:54.20 - 01:54.84] 塞回去
[01:54.84 - 01:56.00] 再发给AI一遍
[01:56.04 - 01:56.72] 重新发一次
[01:56.72 - 01:58.20] 它记得这个小花
[01:58.20 - 01:59.52] 完全是因为你把这个话
[01:59.52 - 02:00.60] 又塞给它了一遍
[02:00.60 - 02:01.44] 所以它才知道
[02:01.44 - 02:02.44] 这就是上下文
[02:02.44 - 02:03.12] 这就是记忆
[02:03.12 - 02:03.68] OK
[02:03.68 - 02:04.64] 是不是看起来有点
[02:05.52 - 02:06.44] 有点扯
[02:06.44 - 02:07.44] 但是现在就是这样
[02:07.44 - 02:07.72] OK
[02:07.72 - 02:08.72] 那下一个问题是
