[00:00.00 - 00:05.40] 几GPU存儲光磨跨之後,AN產業鏈上用一個暴點出現了,那就是
[00:05.40 - 00:06.40] CPU
[00:06.40 - 00:10.30] 這個季度CPU3巨頭集體交出了戰力財報
[00:10.30 - 00:13.20] 曾經被視為AN7子的英特爾逆風翻盤
[00:13.20 - 00:17.30] 輸入矛益對雷古收益軍大幅度的超過指引上線
[00:17.30 - 00:20.80] 受AN驅動的數據中心業務同比大漲22%
[00:20.80 - 00:24.00] 財報發布刺治英特爾股價暴漲24%
[00:24.00 - 00:26.80] 創下近40年來最大的單日漲幅
[00:26.80 - 00:30.10] 而過去一個月英特爾的股價已經翻了一倍多
[00:30.10 - 00:32.50] MD和Arm的表現也非常驚人
[00:32.50 - 00:35.50] MD整體營收首次突破100億美元
[00:35.50 - 00:40.70] 其中數據中心業務單體收入達到58億美元同以暴漲57%
[00:40.70 - 00:44.60] 公司直接把2030年的服務器CPU市場規模預測
[00:44.60 - 00:48.30] 從600億美元上調了一倍到1200億美元
[00:48.30 - 00:51.90] 而Arm不僅版權收入受到手軟陷阱流起飛
[00:52.00 - 00:55.50] 收款專為AAS數據中心打造的Arm AGSCPU
[00:55.50 - 00:57.40] 更是已經被排隊預定
[00:57.40 - 00:59.60] 鎖定需求超過20億美元
[00:59.60 - 01:03.40] 以及未來5年還會將Arm的零AAS市場空間擴大40倍
[01:03.40 - 01:07.80] 存下CPU巨頭的液級和指引集體暴漲數名AAS算了需求
[01:07.80 - 01:12.20] 已經開始從GPU進一步悶嚴到了整個計算系統
[01:12.20 - 01:16.00] 在超強的需求之下CPU目前也陷入了全面短缺
[01:16.00 - 01:17.40] 產品價格不斷走高
[01:17.40 - 01:20.70] 甚至連層次品現在也在被排隊強構
[01:20.70 - 01:23.70] 那麼CPU為什麼會突然從AIP決
[01:23.70 - 01:26.70] 但是重新回歸到基礎設施核心
[01:26.70 - 01:29.20] CPU短缺到底是怎麼回事呢
[01:29.20 - 01:32.20] 那這樣的短缺潮又會持續多久呢
[01:32.20 - 01:33.00] 哈囉大家好
[01:33.00 - 01:35.20] 歡迎收看規模101我是陳憲
[01:35.20 - 01:38.70] 那上次我們聊完存儲芯片的超級周期
[01:38.70 - 01:41.70] 今天這期內容我們就來看看CPU短缺
[01:45.21 - 01:47.11] 從2025年第四季都開始
[01:47.11 - 01:50.61] 夫妻CPU的平均售價已經漲了3%
[01:50.71 - 01:53.51] 這在高度承受的CPU市場結尾罕見
[01:53.51 - 01:55.61] 分歲而來的是共和緊缺
[01:55.61 - 01:57.91] 交付週期已經從過去的1到2週
[01:57.91 - 02:00.01] 普遍拉長到了8到12週
[02:00.01 - 02:02.21] 部分型號甚至要等6個月
[02:02.21 - 02:04.41] 如果只是漲價也到還好
[02:04.41 - 02:06.41] 但更可怕的是在消費端
[02:06.41 - 02:08.01] 有供應商開始擔心
[02:08.01 - 02:09.81] 加價也拿不到貨了
[02:09.81 - 02:11.61] 這場短缺了兩個原因
[02:11.61 - 02:13.61] 第一是Agent的爆發
[02:13.61 - 02:16.41] 當AI運行的時候需要CPU來調毒工具
[02:16.41 - 02:17.81] 處理數據執行代碼
[02:17.81 - 02:20.41] 驗證結果編排各種流程等等
[02:20.41 - 02:22.61] CPU則指負責計算
[02:22.61 - 02:26.11] 而Agent相比普通的AI來說會執行多個政府
[02:26.11 - 02:28.21] 相當於GPU算了各種東西
[02:28.21 - 02:30.31] 都得讓CPU來負責整合
[02:30.31 - 02:32.11] 隨著GPU速度越來越快
[02:32.11 - 02:35.01] 很多任務都會堆積到CPU身上
[02:35.01 - 02:36.31] 所以拖滿速度
[02:36.31 - 02:37.31] 有論文就指出
[02:37.31 - 02:40.01] 當Agent運行在高性能GPU平坦的時候
[02:40.01 - 02:43.41] 來自CPU的延遲高達65%
[02:43.41 - 02:45.01] 這就像一架餐廳
[02:45.01 - 02:46.81] GPU負責廠菜
[02:46.81 - 02:49.81] CPU要洗菜、沙籃、裝盤、上菜
[02:49.81 - 02:52.01] 當GPU炒菜越來越快的時候
[02:52.01 - 02:54.71] 初餐速度就會卡在CPU身上
[02:54.71 - 02:59.01] 而第二個原因是大模型上下文窗口越來越長
[02:59.01 - 03:02.01] 現在不上模型都紛紛邁入了百萬偷很級別
[03:02.01 - 03:04.01] 能夠讓一次對華記憶更多
[03:04.01 - 03:06.61] 這也意味著PVCache集具膨脹
[03:06.61 - 03:08.91] 當顯存裝不下這些緩存的時候
[03:08.91 - 03:11.81] 有些數據就得被現在到SSD那邊
[03:11.81 - 03:13.51] 去交給CPU那處理
[03:13.51 - 03:16.01] 這又給CPU天然的生活
[03:16.01 - 03:18.41] 目前的數據中心CPU和GPU的配備
[03:18.51 - 03:20.81] 已經從1比4或1比8提升到1比1
[03:20.81 - 03:21.81] 或者1比2
[03:21.81 - 03:24.01] 也就是需求增長4倍
[03:24.01 - 03:26.01] 這才導致了短缺
[03:26.01 - 03:27.11] 可能有人就會問
[03:27.11 - 03:29.11] 既然需求來自於數據中心
[03:29.11 - 03:31.91] 我立場買個電腦應該不影響吧
[03:31.91 - 03:34.51] 其中的原因就和內存一樣
[03:34.51 - 03:36.51] 存在產能幾壓的情況
[03:36.51 - 03:38.91] 短缺其實還在服務器段
[03:38.91 - 03:40.61] 就不再省身的這一段
[03:40.61 - 03:44.11] 但這個造成影響在於所有CPU的企業
[03:44.11 - 03:46.81] 在服務器段做CPU可以賺更多錢
[03:46.91 - 03:49.31] 所以他們會把他們的產能
[03:49.31 - 03:52.21] 全服務盡量的拿去給
[03:52.21 - 03:53.71] Server的段的CPU
[03:53.71 - 03:56.31] 把產能從細端抽出來
[03:56.31 - 03:57.11] 實際上的話
[03:57.11 - 04:00.31] 也對細端的CPU的工程會少算一個影響
[04:00.31 - 04:02.31] 那共幾端在做什麼呢
[04:02.31 - 04:07.54] 那目前CPU的產能
[04:07.54 - 04:09.24] 主要受限於2點
[04:09.24 - 04:11.34] 經典生產和風針材料
[04:11.34 - 04:13.14] 我們先來說一下經典生產
[04:13.14 - 04:15.64] 眾所周知全球最新興的經編
[04:15.64 - 04:17.74] 代工產能集中在台積電
[04:17.84 - 04:20.24] 除了MD 英特爾又部分CPU
[04:20.24 - 04:21.84] 需要交給台積電
[04:21.84 - 04:23.54] 但是利潤跟高的CPU
[04:23.54 - 04:26.14] 訂單幾乎拿到了絕對的優先權
[04:26.14 - 04:28.34] 舉佔了CPU的產能配比
[04:28.34 - 04:30.84] 而且台積電2026年的先進製成
[04:30.84 - 04:32.34] 產能早已賣光了
[04:32.34 - 04:35.14] 2027年的產能也幾乎快沒了
[04:35.14 - 04:37.84] 至於英特爾也沒好到哪去
[04:37.84 - 04:39.54] 雖然英特爾有自己的經緣場
[04:39.54 - 04:41.24] 並且它是量產18A工藝
[04:41.24 - 04:42.84] 但是目前量率低下
[04:42.84 - 04:44.74] 並且產能爬破最快
[04:44.74 - 04:46.04] 也需要一年的時間
[04:46.04 - 04:47.34] 它的量率
[04:47.34 - 04:49.34] 現在就是一有的還上不來
[04:49.34 - 04:51.34] 可能是30%也可能50%
[04:51.34 - 04:53.94] 一般的從現在的量率
