[00:00.02 - 00:01.82] Hello 大家好,我是裁哥
[00:01.82 - 00:05.74] 過去這幾個月,我是否反覆跟大家強調,今年一定要站在光裡
[00:05.74 - 00:09.42] 光護聯產業可是我們中國的優勢賽道,必須牢牢守住
[00:09.42 - 00:13.94] 果然,重磅幸好來了,就在台北Comptex 2026電腦展現廠
[00:13.94 - 00:17.74] 光護聯龍頭麥威爾的CEO墨飛和黃仁勳同台對話
[00:17.74 - 00:19.98] 兩人專門聊高速連接的產業前景
[00:19.98 - 00:24.46] 黃仁勳直接給出超高評價,說麥威爾有望成為下一家萬億美元計劃公司
[00:24.58 - 00:28.50] 這一下光護聯徹底做實了,他就是計算力存儲之後
[00:28.50 - 00:30.70] AI產業裡最值得關注的核心版塊
[00:30.70 - 00:34.06] 所以我在強調一遍,一定要站在光裡,別錯過這波趨勢
[00:34.78 - 00:39.22] 嚴归正軟,咱們先把光護聯的核心邏輯講透,為啥他能被兩大巨頭立停
[00:39.22 - 00:43.50] 你肯定好奇對吧?其實這裡面有三個底層邏輯,咱們一個一個說
[00:43.90 - 00:48.14] 首先是行業核心邏輯光近同退不可逆的大趨勢
[00:48.14 - 00:54.14] 你想,現在AI算力爆發式增長傳統的同線在貸款上線公號控制上
[00:54.30 - 00:58.34] 早就碰到物理平靜了,根本扛不住這麼大的算力互聯需求
[00:58.34 - 01:02.42] 而高速光磨塊、歸光、CPO、共鋒裝光學
[01:02.42 - 01:04.54] 就成了唯一能落地的解決方案
[01:04.54 - 01:08.66] 這是技術上繞不開的選擇,說白了就是剛需倒逼沒的選
[01:09.02 - 01:12.18] 然後呢,巨頭深度綁定,直接鎖定了行業標準
[01:12.18 - 01:15.38] 你知道嗎?因為大家直接砸了20億美元戰略投資Marvel
[01:15.38 - 01:19.22] 就是為了牢牢鎖住對方的高速DSP芯片、歸光核心技術
[01:19.22 - 01:24.78] 近而掌控800G、1.6T、3.2T全系列高端光護聯的技術標準和產能攻擊
[01:24.78 - 01:29.06] 兩大巨頭聯手,相當於給這個賽道定了掉,後續產業只會加速跑
[01:29.06 - 01:31.26] 誰也跟不上的話,可能就被甩遠了
[01:31.78 - 01:35.90] 最後,全產業都達成共識了,高速護聯是下一輪投資主線
[01:35.90 - 01:39.94] 現在AI行業的競爭早就不只是拼算力、拼存儲空間了
[01:39.94 - 01:45.50] 而是拼集群之間的高速護聯貸宽、數據傳的越快、AI運算效率就越高
[01:45.58 - 01:49.66] 所以整個光護聯產業鏈現在正迎來三重紅力一起爆發
[01:49.66 - 01:52.90] 產品銷量和價格同步上漲、新技術快速跌帶
[01:52.90 - 01:57.58] 國產替代也在加速落地、簡直是天使地利人和,想不活都難
[01:58.46 - 02:00.50] 聊完邏輯,大家最關心的肯定是
[02:00.50 - 02:02.34] 國內哪些企業能吃到這波紅力
[02:02.34 - 02:04.50] 別急,玩產業鏈環節給大家梳理
[02:04.50 - 02:07.42] 每個環節的核心玩家都講明白,你聽完心裡就有數了
[02:08.06 - 02:10.94] 第一個環節,高速光磨塊,這是最直接受益的
