[00:00.05 - 00:03.73] 高盛刚刚发了一份最新的研究报告
[00:03.73 - 00:07.89] 就是预测了一项AI的核心技术
[00:07.89 - 00:13.49] 说他在未来7年里会实现一个高达98%的负合年称赏率
[00:13.49 - 00:17.57] 嗯,98%这个数字确实非常夸张
[00:17.57 - 00:18.49] 对吧
[00:18.49 - 00:21.69] 说实话,我刚刚刚到这个数字的时候第一反应是
[00:21.69 - 00:24.81] 这肯定又是再说哪家做GPU的公司
[00:24.81 - 00:27.33] 或者是搞什么最前延的大模型算法的
[00:27.41 - 00:30.17] 其实这也是大部分人的第一反应嘛
[00:30.17 - 00:33.25] 大家潜意识里都会往算力芯片那边想
[00:33.25 - 00:36.81] 没错,但有个非常反直觉的事实啊
[00:36.81 - 00:39.81] 这项技术,它根本就不是GPU
[00:39.81 - 00:42.85] 它甚至怎么说呢,平时都不怎么企严
[00:42.85 - 00:46.01] 它其实就是隐藏在色付器最深处
[00:46.01 - 00:48.73] 用来连接不同计算单元的一座桥
[00:48.73 - 00:52.01] 有就是我们常说的那个底层连接部件
[00:52.01 - 00:55.61] 对,所以欢迎你来到本次的深度解析
[00:55.61 - 00:57.57] 今天我们要带大家一起研究的
[00:57.57 - 01:02.01] 就是这份来自高盛的发布于2026年5月13日的
[01:02.01 - 01:03.45] 投降研究报告
[01:03.45 - 01:06.13] 主角是一家叫蓝起科技的公司
[01:06.13 - 01:08.73] 它的A股代码是688008
[01:08.73 - 01:11.85] 港股也就是H股代码是6809
[01:11.85 - 01:13.77] 这份报告非常有意思
[01:13.77 - 01:16.77] 高盛不仅为吃了对它的买入评级
[01:16.77 - 01:18.37] 而且动作非常大
[01:18.37 - 01:19.89] 是的,太大了
[01:19.89 - 01:23.69] 它的把A股的目标价大幅上调了大概40%
[01:23.69 - 01:25.69] 到了363元人民币
[01:25.69 - 01:27.21] 而且H股的目标价
[01:27.21 - 01:29.61] 直接上调了约67%
[01:29.61 - 01:31.93] 定在了510港元
[01:31.93 - 01:35.69] 这在研报里算是一个相当激进的固执调整了
[01:35.69 - 01:38.29] 所以我们今天的任务就是要穿透这份报告里
[01:38.29 - 01:41.93] 那些秘密麻麻的半道体专业属于
[01:41.93 - 01:43.53] 但你搞懂一件事
[01:43.53 - 01:45.97] 为什么在这个所谓代理型AI
[01:45.97 - 01:48.73] 也就是AgenticAI崛起的时代
