[00:00.00 - 00:03.08] 下一批NB黑马藏在这四大塞导
[00:03.08 - 00:06.40] 分析不易,大家关注收藏,第一个DSP电芯片
[00:06.40 - 00:09.16] DSP电芯片是光模块的大脑
[00:09.16 - 00:12.24] 所有光信号的收发、翻译、修复
[00:12.24 - 00:14.48] 纠错都靠DSP一个芯片完成
[00:14.48 - 00:17.48] 目前DSP电芯片被美国伯通
[00:17.48 - 00:19.72] 麻围两家公司百分之百共断
[00:19.72 - 00:21.44] 一颗国产都没有
[00:21.44 - 00:24.92] DSP电芯片是光模块真正卡伯子的核心
[00:24.92 - 00:27.00] 后续大概率是一个黑马塞导
[00:27.00 - 00:29.56] 第二个玻璃基本扣心先进风光
[00:29.72 - 00:32.72] 之前开我DS的风庄的规理做太贵
[00:32.72 - 00:34.44] 产能不够,还散热差
[00:34.44 - 00:36.44] 现在全行业即将换成玻璃机板
[00:36.44 - 00:39.12] 现在这个技术的渗透率还不到1%
[00:39.12 - 00:41.84] 台级电今年就要开第一条量产线
[00:41.84 - 00:44.08] 英伟达直接砸了32亿美元
[00:44.08 - 00:46.88] 把未来10年的玻璃机板产能全部锁定
[00:46.88 - 00:50.08] 从1%长到20%就是20倍的市场空间
[00:50.08 - 00:52.60] 第三个,微光CPU的风测设备
[00:52.60 - 00:53.56] 很多人不知道
[00:53.56 - 00:55.64] 做光模块,做规光芯片
[00:55.64 - 00:57.64] 最难的不是材料
[00:57.92 - 01:00.20] 不是设计,设计是风庄设备
[01:00.20 - 01:02.64] 全世界能做高端规光风测设备的
[01:02.64 - 01:03.48] 就两家
[01:03.48 - 01:04.96] 德国分口态克
[01:04.96 - 01:07.04] 瑞典麦康宁,极度垄断
[01:07.04 - 01:09.72] 今年全球规光风庄设备的需求量
[01:09.72 - 01:11.80] 直接暴涨了320%
[01:11.80 - 01:13.96] 需求爆炸,共济稀缺
[01:13.96 - 01:16.08] 垄断闭嘞,国产空白
[01:16.08 - 01:19.12] 这种塞导是最容易走出10倍黑马的地方
[01:19.12 - 01:21.80] 第四个,HBM半导体材料
[01:21.80 - 01:24.04] 现在AR最大的平静不是GPU
[01:24.04 - 01:25.40] 是HPM的类型
[01:25.40 - 01:26.76] 但很多人不知道
[01:26.76 - 01:29.04] HBM最赚钱的不是芯片本身
[01:29.04 - 01:31.40] 是上游的风庄材料
[01:31.40 - 01:34.80] 一颗HBM31的芯片材料成本站的40%
[01:34.80 - 01:37.00] 现在这些高端材料基本全靠进口
[01:37.00 - 01:39.04] 国产T代率不到5%
[01:39.04 - 01:42.04] 未来3年,国产T代率要充到50%
[01:42.04 - 01:43.76] 这就是10倍的总长空间
[01:43.76 - 01:45.00] 刚需中的刚需
